,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,overlap,overlap_percentage_add,overlap_percentage_remove,ID_remove,ID_add,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE
19,chr17,NHERF1,75640506,75661228,+,protein_coding,MIR3615,75640491,75640577,+,miRNA,72,0.0034744004246489,0.8275862068965517,MIR3615,NHERF1,False,358,0,False
20,chr17,IGBP1C,59528282,59559911,-,protein_coding,TEX14,59424548,59559911,-,protein_coding,31630,1.0,0.2336662628172926,TEX14,IGBP1C,True,340,1497,True
21,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNU1-108P,59534394,59534554,-,pseudogene,161,0.005090104331331,1.0,RNU1-108P,IGBP1C,False,340,0,False
22,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNU1-52P,59545430,59545593,-,pseudogene,164,0.0051849509958899,1.0,RNU1-52P,IGBP1C,False,340,0,False
23,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNVU1-34,59547392,59547555,-,pseudogene,164,0.0051849509958899,1.0,RNVU1-34,IGBP1C,False,340,0,False
24,chr19,SMIM46,14238936,14239088,-,protein_coding,PRKACA,14218299,14244374,-,protein_coding,153,1.0,0.0058674643350207,PRKACA,SMIM46,True,50,427,True
25,chr19,SAXO3,52012741,52015325,-,protein_coding,LHB,52010754,52014273,-,protein_coding,1533,0.593036750483559,0.4355113636363636,LHB,SAXO3,True,334,157,True
26,chr22,FAM246B,19404891,19405586,+,protein_coding,DGCR5,19345862,19406582,+,lncRNA,696,1.0,0.0114622618204575,DGCR5,FAM246B,False,231,0,False
27,chr22,RIMBP3,21796920,21803024,+,protein_coding,RN7SKP63,21802737,21802974,+,pseudogene,238,0.0389844389844389,1.0,RN7SKP63,RIMBP3,False,1639,0,False
28,chr22,MIURF,39974860,39975072,+,protein_coding,MIEF1,39970729,39988762,+,protein_coding,213,1.0,0.0118110236220472,MIEF1,MIURF,True,70,478,True
29,chr22,TMA7B,40431389,40435898,+,protein_coding,GRAP2,40364808,40444710,+,protein_coding,4510,1.0,0.0564434376681726,GRAP2,TMA7B,True,64,330,True
30,chrX,GNG5B,108794364,108794883,-,protein_coding,AMMECR1,108642094,108888143,-,protein_coding,520,1.0,0.0021133915870757,AMMECR1,GNG5B,True,68,333,True
