,gene,chromosome,start,end,strand,biotype,ID
118,SPATA5L1,chr15,43210511,43229587,+,protein_coding,SPATA5L1
119,ODF3L1,chr15,73594750,73598397,+,protein_coding,ODF3L1
120,FAM189A1,chr15,26895232,27466166,-,protein_coding,FAM189A1
121,FAM214A,chr15,50389635,50518064,-,protein_coding,FAM214A
122,WDR61,chr15,76145807,76162185,-,protein_coding,WDR61
123,SLC9A3R2,chr16,2046859,2058835,+,protein_coding,SLC9A3R2
124,C16orf72,chr16,9124455,9154443,+,protein_coding,C16orf72
125,TEPP,chr16,63771815,63783405,+,protein_coding,TEPP
126,CCDC113,chr16,63992641,64079127,+,protein_coding,CCDC113
127,C16orf91,chr16,1434364,1435359,-,protein_coding,C16orf91
128,KIAA0895L,chr16,72969893,72978247,-,protein_coding,KIAA0895L
129,C17orf97,chr17,332229,336570,+,protein_coding,C17orf97
130,LINC00672,chr17,39788252,39792466,+,lncRNA,LINC00672
131,C17orf64,chr17,61290151,61300355,+,protein_coding,C17orf64
132,C17orf80,chr17,74122159,74138687,+,protein_coding,C17orf80
133,SLC9A3R1,chr17,75640506,75661228,+,protein_coding,SLC9A3R1
134,KIAA0100,chr17,29557164,29587883,-,protein_coding,KIAA0100
135,C17orf98,chr17,39698166,39704496,-,protein_coding,C17orf98
136,IGBP1P2,chr17,59528282,59559911,-,protein_coding,IGBP1P2
137,FAM104A,chr17,74097081,74122120,-,protein_coding,FAM104A
138,C18orf25,chr18,46364179,46457614,+,protein_coding,C18orf25
139,RNF165,chr18,46524603,46653701,+,protein_coding,RNF165
140,TEX45,chr19,7498219,7509163,+,protein_coding,TEX45
141,CCDC105,chr19,15135627,15148213,+,protein_coding,CCDC105
142,RPSAP58,chr19,23898911,24016747,+,protein_coding,RPSAP58
143,THEG,chr19,310606,324885,-,protein_coding,THEG
144,ODF3L2,chr19,414863,444061,-,protein_coding,ODF3L2
145,C19orf54,chr19,43561552,43571168,-,protein_coding,C19orf54
146,C20orf85,chr20,59930302,59940549,+,protein_coding,C20orf85
147,C20orf27,chr20,3784462,3799327,-,protein_coding,C20orf27
148,SOGA1,chr20,38501731,38587835,-,protein_coding,SOGA1
149,C21orf62,chr21,31156897,31179935,-,protein_coding,C21orf62
150,TEX33,chr22,37450704,37467442,-,protein_coding,TEX33
151,ODF3B,chr22,51040987,51043059,-,protein_coding,ODF3B
152,BHLHB9,chrX,101165692,101198489,+,protein_coding,BHLHB9
153,TDGF1P3,chrX,108968800,108970925,+,protein_coding,TDGF1P3
154,FAM104B,chrX,54436245,54454327,-,protein_coding,FAM104B
155,GNG5P2,chrX,108794364,108794883,-,protein_coding,GNG5P2
156,LOC344065,chr2,95712830,95770061,+,protein_coding,LOC344065
157,LOC122319436,chr2,222799269,222805278,-,protein_coding,LOC122319436
158,LOC93622,chr4,6649146,6651114,+,protein_coding,LOC93622
159,LOC105377321,chr4,90789843,90798963,-,lncRNA,LOC105377321
160,LOC100505841,chr5,122677032,122699514,+,protein_coding,LOC100505841
161,LOC441155,chr6,66455264,66460362,+,protein_coding,LOC441155
162,LOC84773,chr8,145633585,145635457,-,protein_coding,LOC84773
163,LOC100421372,chr10,14852271,14860964,+,protein_coding,LOC100421372
164,LOC112577516,chr10,123547893,123554537,+,protein_coding,LOC112577516
165,LOC645202,chr15,26330280,26340490,+,protein_coding,LOC645202
166,LOC102723623,chr15,21060809,21070472,-,protein_coding,LOC102723623
167,LOC100132202,chr15,26090606,26100826,-,protein_coding,LOC100132202
168,LOC105371267,chr16,58833426,58850614,-,protein_coding,LOC105371267
169,LOC729966,chr19,18384034,18389517,-,protein_coding,LOC729966
170,LOC101059948,chr19,52012741,52015325,-,protein_coding,LOC101059948
171,LOC105372440,chr19,53875222,53875654,-,protein_coding,LOC105372440
172,LOC102724652,chr21,41498596,41563900,+,protein_coding,LOC102724652
173,LOC102724560,chr21,41444310,41468059,-,protein_coding,LOC102724560
174,LOC102724428,chr21,41769738,41782385,-,protein_coding,LOC102724428
175,LOC112268293,chr22,40431389,40435898,+,protein_coding,LOC112268293
176,LOC122394733,chrX,102403657,102407006,+,protein_coding,LOC122394733
177,LOC727838,chrX,117450728,117454503,+,protein_coding,LOC727838
178,LOC389895,chrX,138403603,138404836,+,protein_coding,LOC389895
