,seq_id,source,type,start,end,score,strand,phase,attributes,Dbxref,ID,Name,Note,Parent,alignment_id,alternative_source_transcripts,anticodon,collapsed_gene_ids,collapsed_gene_names,copy_num_ID,coverage,db_xref,description,exception,exon_annotation_support,exon_number,experiment,extra_copy_number,extra_paralog,frameshift,gbkey,gene,gene_biotype,gene_id,gene_name,gene_synonym,inference,inframe_stop_codon,intron_annotation_support,matches_ref_protein,missing_start_codon,missing_stop_codon,model_evidence,note,paralogy,part,partial,product,proper_orf,protein_id,pseudo,sequence_ID,source_gene,source_gene_common_name,source_transcript,standard_name,tag,transcript_biotype,transcript_class,transcript_id,transcript_modes,transcript_name,transferase,transl_except,unfiltered_paralogy,valid_ORF,valid_ORFs,valid_start,valid_stop
1878792,chr9,Liftoff,exon,129331,129357,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=11;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,11,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878793,chr9,Liftoff,exon,140434,140490,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=10;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,10,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878794,chr9,Liftoff,exon,145639,145761,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=9;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,9,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878795,chr9,Liftoff,exon,146369,146413,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=8;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,8,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878796,chr9,Liftoff,exon,150813,150859,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=7;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,7,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878797,chr9,Liftoff,exon,156763,156800,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=6;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,6,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878798,chr9,Liftoff,exon,158308,158367,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=5;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,5,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878799,chr9,Liftoff,exon,166407,166498,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=4;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,4,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878800,chr9,Liftoff,exon,167596,167692,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=3;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,3,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878801,chr9,Liftoff,exon,170024,170110,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=2;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,2,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878802,chr9,Liftoff,exon,173145,173385,.,-,.,Parent=XR_001746353.2;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;exon_number=1;extra_copy_number=0,,,,,XR_001746353.2,,,,,,,,GeneID:55871,,,,1,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
1878803,chr9,Liftoff,transcript,140781,173385,.,-,.,ID=XM_005251517.6;Parent=CBWD1;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;matches_ref_protein=True;valid_ORF=True;extra_copy_number=0,,XM_005251517.6,,,CBWD1,,,,,,,,GeneID:55871,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,mRNA,CBWD1,,,,,,,,True,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,True,,,
1878804,chr9,Liftoff,exon,140781,145059,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=10;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,10,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878805,chr9,Liftoff,exon,146369,146413,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=9;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,9,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878806,chr9,Liftoff,exon,149043,149129,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=8;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,8,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878807,chr9,Liftoff,exon,150813,150859,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=7;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,7,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878808,chr9,Liftoff,exon,156763,156800,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=6;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,6,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878809,chr9,Liftoff,exon,158308,158367,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=5;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,5,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
1878810,chr9,Liftoff,exon,166407,166498,.,-,.,Parent=XM_005251517.6;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X3;transcript_biotype=mRNA;exon_number=4;extra_copy_number=0,,,,,XM_005251517.6,,,,,,,,GeneID:55871,,,,4,COORDINATES: polyA evidence [ECO:0006239],0,,,,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 21 ESTs%2C 3 Proteins%2C 123 long SRA reads%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 113 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X3,,,,,,,,,,mRNA,,,,,,,,,,,
